Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"BRENTUXIMAB VEDOTIN 50 mg, poudre pour solution pour perfusion",brentuximab vedotin,,18/03/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2012 sous la dénomination ADCETRIS.,TAKEDA FRANCE
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Genzyme (tel : 01 30 87 26 70).,GENZYME S.A.S
"DEFIBROTIDE 200 mg, solution à diluer pour perfusion",défibrotide,, ,,, ,GENTIUM SPA
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ERWINASE 10000 U, poudre pour solution injectable",crisantaspase,, ,,, ,EUSA PHARMA
"IBRUTINIB 140 mg, gélule",ibrutinib,, ,,, ,JANSSEN-CILAG
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,, ,CELGENE FRANCE
"LEUKOTAC 1 mg/ml, solution à diluer pour perfusion",inolimomab,, ,,, ,EUSA PHARMA
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,, ,PFIZER
"NEODEX 40 mg, comprimé sécable",dexaméthasone,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire CTRS (tél : 01.41.22.09.70).,LABORATOIRES CTRS
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,, ,AMATSI
"ONCASPAR 750 UI/ml, solution injectable",Peg-L-Asparaginase,, ,,, ,SIGMA-TAU FRANCE
"PKC 412 25 mg, gélule",midostaurin,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA S.A.S. (Tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"POMALIDOMIDE CELGENE  4 mg, gélule",pomalidomide,,11/12/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en août 2013.,CELGENE EUROPE LIMITED
"PONATINIB 15 mg, comprimé",ponatinib,,01/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en juillet 2013 sous la dénomination ICLUSIG.,ARIAD PHARMACEUTICALS
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,, ,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"ZOLINZA 100 mg, gélule",vorinostat,, ,,, ,MERCK SHARP & DOHME - CHIBRET
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ARIKACE 70 mg/ml, suspension pour inhalation par nébuliseur",amikacine liposomale,, ,,, ,INSMED INCORPORATED
"BMS-650032 100 mg, gélule",asunaprevir,, ,,, ,BRISTOL MYERS SQUIBB
"BMS-790052 60 mg, comprimé pelliculé",daclatasvir,, ,,, ,BRISTOL MYERS SQUIBB
"CAPASTAT 1 g, poudre pour solution injectable",capréomycine (sulfate),, ,,, ,VIANEX SA
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,, ,KING PHARMACEUTICALS LTD
"DIODOQUIN 210 mg, comprimé",iodoquinol,, ,,, ,GLENWOOOD LABORATORIES CANADA LTD
"DOLUTEGRAVIR  50 mg, comprimé pelliculé",dolutegravir,,27/01/2014,,0,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoires ViiV Healthcare (tel : 01 39 17 69 05).,VIIV HEALTHCARE SAS
"FURADANTIN OU NITROFURANTOINE 5 mg/ml, solution buvable",nitrofurantoïne,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,, ,PFIZER PHARMA GMBH
"IMPAVIDO 10 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"IVOMEC PORCIN 10 mg/ml, solution injectable",ivermectine,, ,,, ,MERIAL
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"LAMPIT 120 mg, comprimé",nifurtimox,, ,,, ,BAYER HEALTHCARE PHARMA
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du CNR Paludisme de l'Hôpital de La Pitié Salpêtrière (tel : 01 42 16 01 12 ou 13).,ACE PHARMACEUTICALS
"MARIBAVIR 100 mg, comprimé",maribavir,, ,,, ,VIROPHARMA LIMITED
"NEGABAN 1 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"NEGABAN 2 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"OSELTAMIVIR 100 mg, poudre pour solution pour perfusion",oseltamivir,, ,,,"L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire ROCHE (contact  
laboratoire 24h/24 : Tel : 0800 23 08 50)",ROCHE
"PMS-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,, ,PHARMASCIENCE INC.
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,, ,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,, ,BS DURBIN LTD
"SEMPERA 10 mg/ml, solution injectable",itraconazole,, ,,, ,JANSSEN-CILAG
"SIMÉPRÉVIR 150 mg, gélule",siméprévir,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Janssen-Cilag (tel : 0 805 63 64 16).,JANSSEN PHARMACEUTICA N-V
"SOFOSBUVIR 400 mg, comprimé",sofosbuvir,,23/01/2014,,0,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2014 sous la dénomibnation SOVALDI.,GILEAD SCIENCES INC.
"SULFATO DE ESTREPTOMICINA REIG JOFRE 1 g, poudre et solvant pour solution injectable",streptomycine (sulfate de),,20/01/2014,,0,Cette spécialité est mise à disposition le temps de la rupture de stock de la spécialité STREPTOMYCINE PANPHARMA.,REIG JOFRE LABORATORIO
"TMC 207 100 mg, comprimé", bedaquiline,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire JANSSEN-CILAG (tel : 0800.25.50.75  ou 01.55.00.40.03),JANSSEN PHARMACEUTICA N-V
"TRECATOR 250 mg, comprimé",ethionamide,, ,,, ,WYETH PHARMACEUTICALS INC
"VERMOX 500 mg, comprimé",mébendazole,, ,,, ,JANSSEN PHARMACEUTICA N-V
"VIRAZOLE 100 mg/ml, solution à diluer pour perfusion",ribavirine,, ,,, ,MEDA PHARMA GMBH
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion",zanamivir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire GSK (contact laboratoire 24h/24 : 01 39 17 84 44).,GLAXOSMITHKLINE
"ZITHROMAX 500 mg, poudre pour solution pour perfusion",azithromycine dihydraté,, ,,, ,PFIZER INC
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,, ,ORPHAN EUROPE
"DIBENYLINE 10 mg, gélule",phénoxybenzamide (chlorhydrate),, ,,, ,MERCURY PHARMA GROUP
"L-ARGININE HYDROCHLORHID BAXTER 21 %, solution injectable",L-arginine,, ,,,Cette spécialité n'est plus mise à disposition par le laboratoire.,BAXTER GMBH
"L-ARGININ-HYDROCHLORID B BRAUN  21%, solution à diluer pour perfusion",arginine (chlorhydrate),, ,,, ,B BRAUN
"ORPHACOL 250 mg, gélule",cholique (acide),,06/01/2014,,0,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2013.,LABORATOIRES CTRS
"ORPHACOL 50 mg, gélule",cholique (acide),,06/01/2014,,0,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2013.,LABORATOIRES CTRS
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,, ,ZAMBON ITALIA SRL
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,, ,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,, ,UNIVAR LTD
"UPLYSO 200 U, poudre pour solution pour perfusion",taliglucérase alfa,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site internet de l'ANSM et auprès du laboratoire Pfizer (tel : 01 58 07 30 00).,PFIZER
"VIMIZIM 1 mg/ml, solution à diluer pour perfusion",elosulfase alpha,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire BioMarin (tel : 01 40 07 52 76).,BIOMARIN EUROPE LIMITED
"XENBILOX 250 mg, gélule",chénodésoxycholique (acide),, ,,, ,SIGMA-TAU FRANCE
"ELMISOL 10 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"INDOCIN 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,IROKO
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,, ,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,, ,MISSION PHARMACAL
"AGOMELATINE 5 mg, comprimé",agomélatine,, ,,, ,LABORATOIRE SERVIER INDUSTRIE
"ALCOVER 24,5 g/140 ml, solution buvable",sodium (oxybate),, ,,, ,LABORATORIO FARMACEUTICO
"ANTAXONE 50 mg/10 ml, solution buvable",naltrexone (chlorhydrate),, ,,, ,PHARMAZAM S.A.
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,, ,G. STREULI AND CIE. SA
"BF 2649 20 mg, comprimé pelliculé sécable",pitolisant,, ,,, ,BIOPROJET PHARMA
"BREVIMYTAL HIKMA 500 mg, poudre pour solution injectable",méthohexital sodique,, ,,, ,HIKMA PHARMA GMBH
"CAPTAGON 50 mg, comprimé",fénétylline (chlorhydrate),, ,,, ,EUMEDICA S.A.
"DEXAMFETAMINE SULPHATE 5 mg, comprimé",dexamfetamine sulphate,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"DIAZEPAM DESITIN 10 mg, gel rectal",diazepam,, ,,, ,DESITIN
"DIAZEPAM RECTAL TUBE 10 mg, solution rectale",diazepam,, ,,, ,SANDOZ LTD
"DIAZEPAM RECTAL TUBE 5 mg, gel rectal",diazépam,, ,,, ,SANDOZ LTD
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,, ,DIBROPHARM ARZNEIMITTEL
"DIMINEX 2 mg, comprimé sécable",mazindol,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire H.A.C. Pharma (tel. : 02 31 47 92 46).,H.A.C. PHARMA
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,, ,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,, ,MYLAN INSTITUTIONAL LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,, ,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,, ,WOCKHARDT UK LTD
"LABURIDE 200 mg, comprimé sécable",phénéturide,, ,,, ,KELA PHARMA NV
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,, ,NOVARTIS PHARMACEUTICALS UK LTD
"LORAZEPAM 4 mg/ml, solution injectable",lorazepam,, ,,,Ce médicament est soumis à la réglementation des psychotropes.,WEST-WARD PHARMACEUTICALS
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"MESTINON RETARD 180 mg, comprimé à libération prolongée",pyridostigmine (bromure),, ,,, ,MEDA PHARMA GMBH
"MNESIS 45 mg, comprimé",idébénone,, ,,, ,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,, ,ALLIANCE PHARMACEUTICALS
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,, ,SEARLE FARMACEUTICI
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,, ,DESITIN
"OSPOLOT 50 mg, comprimé",sultiame,, ,,, ,DESITIN
"PETINIMID 250 mg, gélule",éthosuximide,, ,,, ,ORION PHARMA AG
"PETINUTIN 150 mg, comprimé",mésuximide,, ,,, ,PFIZER PHARMA GMBH
"PROSTIGMIN 15 mg, comprimé",neostigmine bromide,, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"SALBUMOL 2 mg, comprimé",salbutamol,, ,,, ,GLAXOSMITHKLINE FRANCE
"SIRDALUD 4 mg, comprimé sécable",tizanidine,, ,,, ,NOVARTIS PHARMA SA
"SYMMETREL 50 mg/5 ml, sirop",amantadine hydrochloride,, ,,, ,ALLIANCE PHARMACEUTICALS
"TECFIDERA 120 mg, gélule gastro-résistante",dimethyl fumarate,, ,,, ,BIOGEN IDEC FRANCE
"TECFIDERA 240 mg, gélule gastro-résistante",diméthyl fumarate,, ,,, ,BIOGEN IDEC FRANCE
"TRAZOLAN 100 mg, comprimé sécable",trazodone (chlorhydrate),, ,,, ,CONTINENTAL PHARMA INC.
"TRITTICO RETARD 150 mg, comprimé",trazodone (chlorhydrate),, ,,, ,CSC PHARMACEUTICALS HANDELS GMBH
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,, ,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,, ,ITALFARMACO SPA
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,"Cette spécialité ne contient pas le même conservateur que la spécialité disponible en France dans le cadre d'une AMM (ALPHAGAN 0,2%, collyre).",ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,, ,AVENTIS PHARMA LIMITED
"CYSTADROPS 0,55%, collyre en solution",cystéamine chlorhydrate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Orphan Europe (tel : 01 47 73 94 61).,ORPHAN EUROPE
"GS 101  0,86 mg/ml, collyre en solution",25mer phosphorothioate oligonucléotide,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible auprès du laboratoire CRID Pharma (04 99 58 38 67).,AMATSI
"IKERVIS 1mg/ml, collyre en émulsion",ciclosporine,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire SANTEN (tel : 01 69 87 40 20).,SANTEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,, ,ALCON LABORATORIES INC.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,, ,ALLERGAN PHARMACEUTICALS IRELAND
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,, ,ALLERGAN
"VIGAMOX 0,50%, collyre en solution",moxifloxacine,, ,,, ,ALCON LABORATORIES INC.
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"LEUKINE 500 µg/ml, solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"SB240563 250 mg, poudre pour solution injectable",mépolizumab,, ,,, ,GLAXOSMITHKLINE FRANCE
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,, ,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,, ,PFIZER
"NORTRILEN 25 mg, comprimé",nortriptyline (chlorhydrate),, ,,, ,H. LUNDBECK A/S
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"ZELDOX 20 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"68 GA/ 68GE 1,1 GBq, générateur radiopharmaceutique",68 Ga/ 68 Ge,, ,,, ,IASON LABORMEDEZIN GMBH
"CHLORURE D'INDIUM 111 + PENTETREOTIDE 1220 MBq/10 mcg, solution injectable",chlorure d'indium 111 + pentetreotide,, ,,, ,MALLINCKRODT MEDICAL  S.A.
"DOTA-TOC 50 microgramme, solution injectable",edotreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"LUTATHERA 7,4 GBq / flacon, solution injectable", 177Lu-DOTA0-Tyr3-Octréotate,, ,,, ,ADVANCED ACCELARATOR APPLICATIONS
"XOFIGO 1000 kBq/ml, solution injectable",radium (dichlorure)  Ra223,,29/01/2014,,0,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2013.,BAYER HEALTH CARE
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,, ,PROSTRAKAN PHARMA BV
"KRYSTEXXA 8 mg, poudre pour solution injectable",pegloticase,, ,,, ,SAVIENT PHARMACEUTICALS INC
"MYOCRISIN  20 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"ELMIRON 100 mg, gélule",pentosane (polysulfate),, ,,, ,JANSSEN-ORTHO INC
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"PMS-OXYBUTYNIN 1 mg/ml, sirop",chlorhydrate d'oxybutynine,, ,,, ,PHARMASCIENCE INC.
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,, ,GLENWOOD GMBH
"POTABA 500 mg, gélule",potassium (paraaminobenzoate),, ,,, ,GLENWOOD LABORATORIES UK LTD
"RIMSO-50 50% p/p, solution pour administration intravésicale",diméthylsulfoxyde,, ,,, ,BIONICHE PHARMA GROUP LIMITED
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,, ,INTERDELTA SA
"CATAPRESS TTS 0,2 mg/24h, dispositif transdermique",clonidine (chlorhydrate),, ,,, ,LABORATOIRES BOEHRINGER INGELHEIM ITALIA SPA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,UNIMED PHARMACEUTICALS INC
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,, ,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,, ,BOEHRINGER INGELHEIM FRANCE
"ZOSTRIX 0,025%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,, ,LABORATOIRE KOHLER CHEMIE
"LEGALON-SIL 350 mg, poudre pour solution injectable",silibinine,, ,,, ,LABORATOIRES ROTTAPHARMA
"AXITINIB 1mg, comprimé pelliculé",axitinib,,24/10/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2012 sous la dénomination INLYTA.,PFIZER
"AXITINIB 5 mg, comprimé pelliculé",axitinib,,24/10/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2012 sous la dénomination INLYTA.,PFIZER
"BRENTUXIMAB VEDOTIN 50 mg, poudre pour solution pour perfusion",brentuximab vedotin,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire TAKEDA (Tel : 01.46.25.12.00).,TAKEDA FRANCE
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Genzyme (tel : 01 30 87 26 70).,GENZYME S.A.S
"CRIZOTINIB 200 mg, gélule",crizotinib,,16/01/2013,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2012 sous la dénomibnation Xalkori.,PFIZER
"CRIZOTINIB 25 mg/ml, suspension buvable",crizotinib,, ,,, ,PFIZER
"CRIZOTINIB 250 mg, gélule",crizotinib,,16/01/2013,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2012 sous la dénomibnation Xalkori.,PFIZER
"DACOGEN 50 mg, poudre pour solution pour perfusion",décitabine,,10/12/2012,,, ,JANSSEN-CILAG
"DEFIBROTIDE 200 mg, solution à diluer pour perfusion",défibrotide,, ,,, ,GENTIUM SPA
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ERWINASE 10000 U, poudre pour solution injectable",crisantaspase,, ,,, ,EUSA PHARMA
"GDC-0449 150 mg, gélule",vismodegib,, ,,, ,ROCHE
"HEXALEN 50 mg, gélule",altrétamine,, ,,,"Cette spécialité est mise à disposition le temps de la rupture de stock de la spécialité HEXASTAT 100 mg, gélule.",EISAI  INC
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,, ,CELGENE FRANCE
"LEUKOTAC 1 mg/ml, solution à diluer pour perfusion",inolimomab,, ,,, ,EUSA PHARMA
"MDV3100 40 mg, capsule molle",enzalutamide,, ,,, ,ASTELLAS PHARMA LTD
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,, ,PFIZER
"NEODEX 40 mg, comprimé sécable",dexaméthasone,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire CTRS (tél : 01.41.22.09.70).,LABORATOIRES CTRS
